column_name,data_type,null_count,null_percentage,unique_count,min_value,max_value
DATE_WK_DT,datetime64[ns],0,0.0,125,2023-01-02 00:00:00,2025-05-19 00:00:00
DIST_CD,object,0,0.0,446,,
PRODUCT_CD,object,0,0.0,4,,
DEPL_EQV_QTY,float64,0,0.0,2268,-57330.0,60210.0
DEPL_PODS,int64,0,0.0,2,0,1
STORE_SRC_CD,object,0,0.0,135548,,
STORE_CD,object,37557,0.38,135314,,
PREMISE_TYPE_CD,object,37557,0.38,3,,
PREMISE_TYPE_DSC,object,37557,0.38,3,,
DIV_CD,object,0,0.0,1,,
SEG_CD,object,0,0.0,1,,
BEV_SEG_CD,object,0,0.0,1,,
PRODUCT_TYPE_CD,object,0,0.0,1,,
CATEGORY_CD,object,0,0.0,1,,
CATEGORY_DSC,object,0,0.0,1,,
MASTER_SKU_CD,object,0,0.0,4,,
DISCONTINUED_SKU_FLG,object,0,0.0,1,,
PRODUCT_ACTIVE_FLG,object,0,0.0,1,,
